case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_001,47502,4608,0,0,824960,0.0,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6
case_002,51207,642048,0,0,1543680,0.0,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77
case_003,132837,5783280,0,2284318,2770412,0.4519169174218999,247e4ba43a9956e5a525404c77fa16d44487e0730987381311cec86f26c0b2a8
case_004,81107,2863104,61440,172032,1956864,0.08080808080808081,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811
case_005,31056,1546098,0,533390,748330,0.4161517336079643,edd47de23316055a7964330cd2a7ba25c6e01e26108b7efd7b76385a781550f3
case_006,19386,355106,0,296712,578154,0.3391513671808025,3a373ee06ac094883c43a3efb9710396913e34817bdf1adaa1330e254a6081f1
case_007,196870,110592,0,0,990720,0.0,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_008,55855,0,0,0,1990872,0.0,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_009,37274,1327286,0,502588,861130,0.36854246992413386,466ec3afb693248d5f918cb8877998937a7b7d85102e370f56fcf12a1acbc21f
case_010,18544,554512,0,295110,518384,0.36276850228766283,997e3e564628228bcf44e0b4ef0940f1af1d538640f5ff275638bab985a240bd
case_011,38462,1558528,0,1411072,675840,0.676153091265947,11ff602ef01cb127aa42650c3637dd27601f51ee659f0f4605decf6ce1eebeec
case_012,12045,61824,0,46976,496896,0.08637326429748177,fb9330b8375d3a2a9f72e42886e4b730652a33e8a4612af874133bf93f1189c9
case_013,53418,45056,0,30720,2031616,0.014895729890764648,1f25b06de5e233f585596aba8d488568923ec41de5cf97c3f8d74f98705281be
case_014,3574405,88929456,53695488,26425344,72415752,0.2673517905952803,9d2edf59be39d457e614f5113234242cb70dc2bd0a9ddfc96f874c3579e0bf09
case_015,32109,313344,0,278272,919554,0.23231420924241084,ed2364b0d6fc0d5479b728ba8a1967deb38d4125e4773fb74010b798acd5585f
case_016,1969193,40388464,0,329504,20421784,0.015878725214550537,a3e9becc7eedda6cd8e170f3109414c0c3182f03c6a433e025829be90d4dd0ff
case_017,25560,330624,0,232320,633422,0.2683478449699795,04493e840abb4ae427d3830c37383ba2b9bef448f49f0b202e36e7993aa629fb
case_018,196222,4681728,0,4326656,1947668,0.6895812202238839,e3b240dea79ce2c369fbb3412eb1a5a2d6c1b61dc8f29a3fa2188cbe1bd113e4
case_019,15396,272468,0,57408,299070,0.16104219615235724,d07ae9ae54b934692207eadd7e4357fef7a581a92fa71886bc08dcfbbfd86d43
case_020,107187,0,0,0,1179648,0.0,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_021,1244853,7360512,90112,5826560,3889152,0.5997048903878583,e0bebd4d5a5827b652b570df3f48856c73fb743bacb4cb0e660b4114db65c6d7
case_022,11576,13824,0,13824,213540,0.060801182245210326,e5709cbe6b4d09384eafb50bc4ce446bad7ae0dfc0250588813b9048e8d27e41
case_023,16213,280992,0,117152,597962,0.16382283104512008,9291b7ce7ca4fa50807988827003e0103774dbf6bf2aea855545f814b1582d9a
case_024,656657,13637536,0,328280,7047544,0.044507569594936104,74b04abca9799ae87e4ccc3558f66652149add5c1a6567a901deafbea436d096
case_025,942350,118272,0,46080,4191744,0.010873504893077202,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4
case_026,24235,765184,0,310040,742046,0.29469073820961406,13e5903fac5a0888bf53f9d6242e4e69f869380318205497643d09ae58b64abc
case_027,448117,16119808,0,2772992,8775680,0.2401134953005852,b0fa9da47632fb703a9ce2cb951749603d2d7c5e076b971a6d84c7f158f716bc
case_028,7864808,88390656,7311360,10020312,42500520,0.19078738128139325,13ab6787cf4c16a91c1e1f40fa421dee747bad732b8feab236dd72c8e97f6c2e
case_029,9238,0,0,0,258132,0.0,8764f19bc2c3e00a850ebb1085cffaa3a7672beadb43cb1b780d42d271c465e5
case_030,557851,6481920,0,5900288,2974720,0.6648205838236991,e9d94dfe5fce4b48e3f6c83be41487a1cf6d0eb39c5bd4bfe20644b20d57c9db
case_031,273027,7217408,947712,4008960,5382260,0.42688383404925023,e4e61f63bb23944bc2beef8aba2f18c9d6d10db33e5f49cbeb5aeca944f839e9
case_032,9829,92342,0,88146,281254,0.2386193827828912,9c74831b83ff8ac8615f79b66b8f144372f7b5f0274cf8a82c6c357c0985b671
case_033,349144,7934592,1419264,4495872,6038192,0.42679368570382714,55857776cabdbe5e68a15d6959f71ee771f7bba935e87fcbf150c23771ec54e3
case_034,150655,2807808,0,2610176,2477616,0.5130272621207785,9e1444e75742bf6053299798d07113012196060be8c7782fc1dd97369ee344ad
case_035,40778,1130532,0,374876,725524,0.34067248273355144,00a42463894648589a3e2949a5e0b85e05b328ad3af558a38c31b66d59dc0e0a
case_036,187182,4608,0,0,3282560,0.0,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a
case_037,43013,778240,0,448512,862208,0.3421875,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629
case_038,267123,8640000,81408,6916608,4517898,0.6048890962145632,ca4964acbb43fb56e044328548b9b950b6ee303f2340c588a160e46ab734302c
