panel,problem,method,control,pairs,successful_pairs,wins,ties,losses,mean_paired_reduction_pct
P1扩展,1,integrated,baseline,12,12,6,5,1,4.202584414562199
P23开发v1,2,local_legacy,baseline,4,4,0,3,1,-0.37320670472844597
P23开发v1,2,budget_greedy,baseline,4,4,2,1,1,-0.2692125039426646
P23开发v1,2,budget_beam,baseline,4,4,1,2,1,-0.2732576272936438
P23开发v1,2,budget_greedy,local_legacy,4,4,2,2,0,0.10399420078578137
P23开发v1,2,budget_beam,local_legacy,4,4,1,3,0,0.09994907743480219
P23开发v1,2,budget_beam,budget_greedy,4,4,0,3,1,-0.004045777977818021
P23开发v1,3,local_legacy,baseline,4,4,0,3,1,-0.287849878597668
P23开发v1,3,budget_greedy,baseline,4,4,1,2,1,-0.17855596871977353
P23开发v1,3,budget_beam,baseline,4,4,1,2,1,-0.17855596871977353
P23开发v1,3,budget_greedy,local_legacy,4,4,1,3,0,0.10929390987789445
P23开发v1,3,budget_beam,local_legacy,4,4,1,3,0,0.10929390987789445
P23开发v1,3,budget_beam,budget_greedy,4,4,0,4,0,0.0
P23开发v2,2,local_legacy,baseline,4,4,0,3,1,-0.37320670472844597
P23开发v2,2,budget_greedy,baseline,4,4,2,1,1,0.10188982368140309
P23开发v2,2,budget_beam,baseline,4,4,1,2,1,0.09784470033042392
P23开发v2,2,budget_greedy,local_legacy,4,4,3,1,0,0.46963809824682734
P23开发v2,2,budget_beam,local_legacy,4,4,2,2,0,0.46559297489584817
P23开发v2,2,budget_beam,budget_greedy,4,4,0,3,1,-0.004045777977818021
P23开发v2,2,wide_legacy,baseline,4,4,0,3,1,-0.0021043771043782744
P23开发v2,2,wide_legacy,local_legacy,4,4,1,3,0,0.365643897461046
P23开发v2,2,budget_greedy,wide_legacy,4,4,2,2,0,0.10399420078578137
P23开发v2,2,budget_beam,wide_legacy,4,4,1,3,0,0.09994907743480219
P23开发v2,3,local_legacy,baseline,4,4,0,3,1,-0.287849878597668
P23开发v2,3,budget_greedy,baseline,4,4,1,3,0,0.10929390987789445
P23开发v2,3,budget_beam,baseline,4,4,1,3,0,0.10929390987789445
P23开发v2,3,budget_greedy,local_legacy,4,4,2,2,0,0.3938672128470877
P23开发v2,3,budget_beam,local_legacy,4,4,2,2,0,0.3938672128470877
P23开发v2,3,budget_beam,budget_greedy,4,4,0,4,0,0.0
P23开发v2,3,wide_legacy,baseline,4,4,0,4,0,0.0
P23开发v2,3,wide_legacy,local_legacy,4,4,1,3,0,0.28457330296919325
P23开发v2,3,budget_greedy,wide_legacy,4,4,1,3,0,0.10929390987789445
P23开发v2,3,budget_beam,wide_legacy,4,4,1,3,0,0.10929390987789445
P23验证v2,2,local_legacy,baseline,8,8,3,3,2,-5.705582305831262
P23验证v2,2,budget_greedy,baseline,8,8,3,3,2,-5.581101608031434
P23验证v2,2,budget_beam,baseline,8,8,3,3,2,-5.591796915605965
P23验证v2,2,budget_greedy,local_legacy,8,8,2,4,2,-0.016838237296945557
P23验证v2,2,budget_beam,local_legacy,8,8,1,5,2,-0.027640566051607973
P23验证v2,2,budget_beam,budget_greedy,8,8,0,7,1,-0.010811672053534505
P23验证v2,2,wide_legacy,baseline,8,8,3,3,2,-5.705582305831262
P23验证v2,2,wide_legacy,local_legacy,8,8,0,8,0,0.0
P23验证v2,2,budget_greedy,wide_legacy,8,8,2,4,2,-0.016838237296945557
P23验证v2,2,budget_beam,wide_legacy,8,8,1,5,2,-0.027640566051607973
P23验证v2,3,local_legacy,baseline,8,8,4,2,2,0.6090811110456187
P23验证v2,3,budget_greedy,baseline,8,8,3,3,2,0.4395822674363198
P23验证v2,3,budget_beam,baseline,8,8,4,1,3,0.4309543527841228
P23验证v2,3,budget_greedy,local_legacy,8,8,0,5,3,-0.17205322673480294
P23验证v2,3,budget_beam,local_legacy,8,8,0,4,4,-0.18065894262734583
P23验证v2,3,budget_beam,budget_greedy,8,8,2,4,2,-0.008624679432979454
P23验证v2,3,wide_legacy,baseline,8,8,3,3,2,0.6090428473012819
P23验证v2,3,wide_legacy,local_legacy,8,8,0,7,1,-3.8263861465437365e-05
P23验证v2,3,budget_greedy,wide_legacy,8,8,0,6,2,-0.1720149628733375
P23验证v2,3,budget_beam,wide_legacy,8,8,1,3,4,-0.18062067888300892
